gene	glm_gp	DESeq2	DESeq2_glmGamPoi	edgeR
ENSMUSG00000101314	0.5000527884477468	1e-8	1e-8	22.87054676053667
ENSMUSG00000016918	1.4696782314849646	1e-8	1.4658205422966224	0.8587016718022457
ENSMUSG00000025938	3.662496323857626	1e-8	3.6515702068077314	4.440206542948784
ENSMUSG00000099498	0	NA	NA	22.87054676053667
ENSMUSG00000042414	379.7935177050898	5730.81706857002	373.6507957915743	21.024356389803852
ENSMUSG00000005886	0.1870295657653781	1e-8	0.18615665373645926	1.1380195241172384
ENSMUSG00000101476	0	1e-8	1e-8	22.74572504247097
ENSMUSG00000025935	0.12346467226740915	0.1231009446975199	0.12300633708080491	0.22239723323287214
ENSMUSG00000025937	0.21038599948493045	1e-8	0.21024730159702834	0.5040152407819386
ENSMUSG00000067813	0	1e-8	1e-8	22.87054676053667
ENSMUSG00000025932	3.8751044633504543	1e-8	3.8702375605817547	2.110767277301082
ENSMUSG00000054493	0	1e-8	1e-8	22.574295050859636
ENSMUSG00000025930	120.77194806047191	1784.9326249411183	118.9986844916117	16.383073624758104
ENSMUSG00000032769	4.4441597703207885	1e-8	4.436437987921229	15.319519183825395
ENSMUSG00000092083	10.818346750079606	1e-8	10.784794056378288	12.627195189863906
ENSMUSG00000025925	0.14993865012922547	0.14892283099624204	0.148727225562439	0.2636391306445215
ENSMUSG00000032719	0	1e-8	1e-8	20.704177782955608
ENSMUSG00000067795	10.49520206415424	1e-8	10.455798887063597	11.174439686759625
ENSMUSG00000043716	0.04622251159564676	0.04585116522916863	0.046157313207700446	0.15023667864499657
ENSMUSG00000025921	1.8513008766655854	2.093428103691113	1.8505313546208055	0.7639692852562101
ENSMUSG00000100868	0	NA	NA	22.87054676053667
ENSMUSG00000025920	0.4206799140724659	1e-8	0.4205529992565072	0.9270346592584494
ENSMUSG00000089982	0	1e-8	1e-8	22.87054676053667
ENSMUSG00000025939	0.08079686348034258	0.08089939344959952	0.08075438290350516	0.34768219145615514
ENSMUSG00000079658	0.042742309534775424	0.042558552079463616	0.04259616890452996	0.1637494216573544
ENSMUSG00000097744	0	1e-8	1e-8	19.373424317821573
ENSMUSG00000025940	0.11387525067432046	0.11382172024627911	0.11381077104140112	0.25326352607500985
ENSMUSG00000025779	1.0285749683794414	1e-8	1.0284587926142637	4.161922404673205
ENSMUSG00000101640	0	NA	NA	22.87054676053667
ENSMUSG00000042686	1.184905895912208	1e-8	1.178321709735943	2.5288966760217537
ENSMUSG00000100110	0	NA	NA	22.87054676053667
ENSMUSG00000025777	7.662515271674023	1e-8	7.661210450228414	17.253353886865643
ENSMUSG00000099899	0	1e-8	1e-8	22.87054676053667
ENSMUSG00000067780	0	1e-8	1e-8	22.65822867953455
ENSMUSG00000100053	29.1545784404497	1e-8	29.037427380265477	21.36432904763843
ENSMUSG00000085125	1.66604576363446	1e-8	1.6595981924565706	12.349570230338944
ENSMUSG00000025776	2.458680617107984	1e-8	2.4560157348315412	1.132390817384886
ENSMUSG00000099895	0	NA	NA	22.87054676053667
ENSMUSG00000025774	0	NA	NA	22.87054676053667
ENSMUSG00000073735	0	NA	NA	22.87054676053667
ENSMUSG00000067773	0	1e-8	1e-8	22.87054676053667
ENSMUSG00000089787	0	NA	NA	22.87054676053667
