job_id	extension_id	method	coefficient_type	number	timing_user	timing_system	timing_elapsed
63996934	cc7ca	glm_gp	Cat	5	106.458	1.733	65.252
63996934	cc7ca	glm_gp on disk	Cat	5	138.506	3.88	99.906
63996934	cc7ca	DESeq2 with glmGamPoi	Cat	5	89.242	4.298	67.048
63996934	cc7ca	edgeR	Cat	5	377.045	2.658	194.808
63996934	cc7ca	DESeq2	Cat	5	336.922	12.684	274.745
63996934	cc7ca	glm_gp overdispersion = 0	Cat	6	84.022	1.385	44.443
63996934	cc7ca	glm_gp	Cat	6	116.54	1.889	71.231
63996934	cc7ca	glm_gp on disk	Cat	6	149.715	4.287	106.944
63996934	cc7ca	DESeq2 with glmGamPoi	Cat	6	104.513	4.912	77.648
63996934	cc7ca	edgeR	Cat	6	394.269	2.555	203.688
63996934	cc7ca	DESeq2	Cat	6	518.562	22.28	382.344
63996934	cc7ca	glm_gp overdispersion = 0	Cat	7	98.292	1.564	51.654
63996934	cc7ca	glm_gp	Cat	7	141.744	2.044	86.735
63996934	cc7ca	glm_gp on disk	Cat	7	174.267	4.071	122.552
63996934	cc7ca	DESeq2 with glmGamPoi	Cat	7	127.133	4.935	94.048
63996934	cc7ca	edgeR	Cat	7	442.926	2.815	228.335
63996934	cc7ca	DESeq2	Cat	7	811.024	33.525	549.118
63996934	cc7ca	glm_gp overdispersion = 0	Cat	8	105.828	1.814	55.539
63996934	cc7ca	glm_gp	Cat	8	154.819	2.554	92.101
63996934	cc7ca	glm_gp on disk	Cat	8	188.136	4.534	127.88
63996934	cc7ca	DESeq2 with glmGamPoi	Cat	8	144.867	5.655	105.587
63996934	cc7ca	edgeR	Cat	8	451.66	2.8	233.298
63996934	cc7ca	DESeq2	Cat	8	1181.303	48.201	755.457
63996934	cc7ca	glm_gp overdispersion = 0	Cont	1	5.389	0.726	6.025
63996934	cc7ca	glm_gp	Cont	1	18.294	0.944	18.613
63996934	cc7ca	glm_gp on disk	Cont	1	43.907	2.477	45.733
63996934	cc7ca	DESeq2 with glmGamPoi	Cont	1	23.615	2.985	26.556
63996934	cc7ca	edgeR	Cont	1	98.745	2.357	101.134
63996934	cc7ca	DESeq2	Cont	1	219.734	3.634	223.342
63996934	cc7ca	glm_gp overdispersion = 0	Cont	2	28.794	0.57	29.221
63996934	cc7ca	glm_gp	Cont	2	48.782	1.065	49.168
63996934	cc7ca	glm_gp on disk	Cont	2	82.701	3.168	85.183
63996934	cc7ca	DESeq2 with glmGamPoi	Cont	2	123.383	4.111	127.384
63996934	cc7ca	edgeR	Cont	2	217.663	2.337	175.008
63996934	cc7ca	DESeq2	Cont	2	272.54	5.001	277.022
63996934	cc7ca	glm_gp overdispersion = 0	Cont	3	60.667	0.85	32.477
63996934	cc7ca	glm_gp	Cont	3	95.414	1.431	62.434
63996934	cc7ca	glm_gp on disk	Cont	3	129.802	3.335	98.945
63996934	cc7ca	DESeq2 with glmGamPoi	Cont	3	155.872	4.053	140.441
63996934	cc7ca	edgeR	Cont	3	348.106	2.535	185.407
63996934	cc7ca	DESeq2	Cont	3	330.059	7.932	300.981
63996934	cc7ca	glm_gp overdispersion = 0	Cont	4	71.93	1.04	38.218
63996934	cc7ca	glm_gp	Cont	4	108.212	1.62	69.846
63996934	cc7ca	glm_gp on disk	Cont	4	143.265	3.451	107.194
63996934	cc7ca	DESeq2 with glmGamPoi	Cont	4	166.298	4.626	147.903
63996934	cc7ca	edgeR	Cont	4	385.628	2.964	208.87
